date,measureValue,t365,s365,t420,s420
2020-07-01 13:40:37.620,0.0000,0,0,0,0
2020-07-01 13:40:39.621,0.0000,0,0,0,0
2020-07-01 13:42:01.510,0.0000,0,0,0,0
2020-07-01 13:42:03.510,0.0000,0,0,0,0
2020-07-01 13:42:05.502,0.0000,0,0,0,0
2020-07-01 13:42:07.503,0.0000,0,0,0,0
2020-07-01 13:42:09.504,0.0000,0,0,0,0
2020-07-01 13:42:11.511,0.0000,0,0,0,0
2020-07-01 13:42:13.496,0.0000,0,0,0,0
2020-07-01 13:42:42.050,0.0000,0,0,0,0
2020-07-01 13:42:44.018,0.0000,0,0,0,0
2020-07-01 13:42:46.018,0.0000,0,0,0,0
2020-07-01 13:42:48.019,0.0000,0,0,0,0
2020-07-01 13:42:50.019,0.0000,0,0,0,0
2020-07-01 13:42:52.020,0.0000,0,0,0,0
2020-07-01 13:42:54.020,0.0000,0,0,0,0
2020-07-01 13:43:20.199,0.0000,0,0,0,0
2020-07-01 13:43:22.200,0.0000,0,0,0,0
2020-07-01 13:43:24.201,0.0000,0,0,0,0
2020-07-01 13:48:39.431,0.0000,0,0,0,0
2020-07-01 13:48:41.430,0.0000,0,0,0,0
2020-07-01 13:48:43.415,0.0000,0,0,0,0
2020-07-01 13:48:45.416,0.0000,0,0,0,0
2020-07-01 13:48:47.415,0.0000,0,0,0,0
2020-07-01 13:48:49.416,0.0000,0,0,0,0
2020-07-01 13:48:51.417,0.0000,0,0,0,0
2020-07-01 13:48:53.416,0.0000,0,0,0,0
2020-07-01 13:50:13.594,0.0000,0,0,0,0
2020-07-01 13:50:15.594,0.0000,0,0,0,0
2020-07-01 13:50:17.595,0.0000,0,0,0,0
2020-07-01 13:50:19.596,0.0000,0,0,0,0
2020-07-01 13:52:01.663,0.0000,0,0,0,0
2020-07-01 13:52:03.664,0.0000,0,0,0,0
2020-07-01 13:52:05.663,0.0000,0,0,0,0
2020-07-01 13:52:07.648,0.0000,0,0,0,0
2020-07-01 13:52:09.665,0.0000,0,0,0,0
2020-07-01 13:53:28.935,0.0000,0,0,0,0
2020-07-01 13:53:30.935,0.0000,0,0,0,0
2020-07-01 13:53:32.935,0.0000,0,0,0,0
2020-07-01 13:53:34.936,0.0000,0,0,0,0
2020-07-01 13:53:36.936,0.0000,0,0,0,0
2020-07-01 13:53:38.936,0.0000,0,0,0,0
2020-07-01 13:53:40.937,0.0000,0,0,0,0
2020-07-01 13:55:27.520,0.0000,0,0,0,0
2020-07-01 13:55:29.520,0.0000,0,0,0,0
2020-07-01 13:55:31.521,0.0000,0,0,0,0
2020-07-01 13:55:33.521,0.0000,0,0,0,0
2020-07-01 13:55:35.521,0.0000,0,0,0,0
2020-07-01 13:55:37.522,0.0000,0,0,0,0
2020-07-01 13:55:39.522,0.0000,0,0,0,0
2020-07-01 13:55:41.522,0.0000,0,0,0,0
2020-07-01 13:55:43.523,0.0000,0,0,0,0
2020-07-01 13:55:45.523,0.0000,0,0,0,0
2020-07-01 13:55:47.524,0.0000,0,0,0,0
2020-07-01 13:56:21.866,0.0000,0,0,0,0
2020-07-01 13:56:23.867,0.0000,0,0,0,0
2020-07-01 13:56:25.867,0.0000,0,0,0,0
2020-07-01 13:56:27.867,0.0000,0,0,0,0
2020-07-01 13:56:29.867,0.0000,0,0,0,0
2020-07-01 13:56:31.868,0.0000,0,0,0,0
2020-07-01 13:56:33.852,0.0000,0,0,0,0
2020-07-01 13:56:35.869,0.0000,0,0,0,0
2020-07-01 13:56:37.884,0.0000,0,0,0,0
2020-07-01 13:56:39.869,0.0000,0,0,0,0
2020-07-01 13:56:41.870,0.0000,0,0,0,0
2020-07-01 13:56:43.869,0.0000,0,0,0,0
2020-07-01 13:56:45.854,0.0000,0,0,0,0
2020-07-01 13:56:47.855,0.0000,0,0,0,0
2020-07-01 13:56:49.854,0.0000,0,0,0,0
2020-07-01 13:56:51.855,0.0000,0,0,0,0
2020-07-01 13:56:53.856,0.0000,0,0,0,0
2020-07-01 13:56:55.856,0.0000,0,0,0,0
2020-07-01 14:09:46.852,0.0000,0,0,0,0
2020-07-01 14:09:48.852,0.0000,0,0,0,0
2020-07-01 14:10:03.181,0.0000,0,0,0,0
2020-07-01 14:10:05.197,0.0000,0,0,0,0
2020-07-01 14:10:16.297,0.0000,0,0,0,0
